variant,source_run_id,task,unit,feature_set,feature_set_display,strategy,initial_fraction,top_fraction,n_runs,found_global_best_rate,acquisitions_to_global_best_mean,acquisitions_to_global_best_median,first_top_fraction_acquisitions_mean,final_objective_gap_mean,final_objective_regret_fraction_mean,final_best_objective_percentile_mean,final_top_fraction_hit_rate_mean,final_top_fraction_hit_count_mean,fit_seconds_sum,predict_seconds_sum,notebook_cell_id,value_origin
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,random,0.1,0.05,15,0.400000,28.333333,10.0,4.666667,405.058653,0.267808,0.995284,0.248718,6.466667,0.000000,0.000000,9kMHymJxff3-;spgzrhvcfc-U,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,extra_trees_greedy,0.1,0.05,15,0.200000,23.333333,30.0,0.666667,470.386757,0.293252,0.998166,0.743590,19.333333,71.068390,18.025363,9kMHymJxff3-;spgzrhvcfc-U,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,extra_trees_ucb,0.1,0.05,15,0.333333,38.000000,30.0,0.000000,390.201409,0.243262,0.998689,0.833333,21.666667,71.277115,17.989992,9kMHymJxff3-;spgzrhvcfc-U,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,tabpfn_greedy,0.1,0.05,15,0.333333,42.000000,50.0,1.333333,390.201409,0.243262,0.998689,0.751282,19.533333,126.880747,376.670989,9kMHymJxff3-;spgzrhvcfc-U,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,tabpfn_disagreement_ucb,0.1,0.05,15,0.733333,64.545455,80.0,1.333333,151.069505,0.094181,0.999476,0.825641,21.466667,175.933406,393.448441,9kMHymJxff3-;spgzrhvcfc-U,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,random,0.2,0.05,15,,,,,,0.287252,0.995807,0.374359,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,extra_trees_greedy,0.2,0.05,15,,,,,,0.133461,0.999214,0.835897,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,extra_trees_ucb,0.2,0.05,15,,,,,,0.178096,0.998820,0.848718,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,tabpfn_greedy,0.2,0.05,15,,,,,,0.168721,0.999083,0.853846,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_160326_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,tabpfn_disagreement_ucb,0.2,0.05,15,,,,,,0.129441,0.999345,0.869231,,,,9kMHymJxff3-,mixed_notebook_evidence
