task,target,unit,matbench_input_type,feature_source,feature_set,feature_set_display,model,model_display,fold,train_size,test_size,n_features,mae,r2,fit_seconds,predict_seconds,selected_hidden_layers,selected_alpha,selected_learning_rate_init,selected_inner_val_mae,selected_inner_val_r2,random_seed
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,0,508,128,132,54.774227545037306,-0.2893915209400253,0.21276021003723145,0.0009036064147949219,64,0.0001,0.001,74.12941522646877,0.12392255051516177,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,1,509,127,132,68.56626372878203,0.09229107383098012,0.47534728050231934,0.0009553432464599609,64,0.01,0.001,61.013877745931865,-0.027394663935018437,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,2,509,127,132,81.21338686644845,-0.0055932669004352675,0.18055152893066406,0.001276254653930664,"256,128",0.0001,0.001,60.01429006582188,-0.04201157424653701,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,3,509,127,132,49.7709321853268,0.1750399585943434,0.46974802017211914,0.0009310245513916016,64,0.0001,0.0003,63.90860845421403,0.09896442950137141,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,4,509,127,132,65.70281845622486,-0.03367122004683276,0.8450076580047607,0.0013358592987060547,128,0.0001,0.0003,51.195808376718446,0.4520375645958348,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,0,508,128,149,44.00910849640189,0.14213602555527816,1.1415057182312012,0.0013964176177978516,"128,64",0.0001,0.0003,58.982462628361624,0.31884976566418877,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,1,509,127,149,54.58219120408843,0.3606352744999315,0.24113845825195312,0.0014090538024902344,"256,128",0.0001,0.001,53.3579659737159,0.019052819977550817,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,2,509,127,149,75.09641118595084,0.20290331304365072,0.4449191093444824,0.0015034675598144531,"256,128",0.01,0.0003,52.72776017288496,-0.015822506815562853,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,3,509,127,149,45.054003055359104,0.2308107529137673,0.9603166580200195,0.0013353824615478516,128,0.0001,0.0003,52.28278680093332,0.39657570517739693,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,4,509,127,149,57.23036812184033,0.06670962903710165,0.740891695022583,0.0014705657958984375,"256,128",0.001,0.0003,52.501418232764536,0.4910935042627479,42
