claim_id,claim_scope,task,model,feature_set,metric,condition,value,unit,run_id,notebook_cell_id,value_origin
full_train_matbench_jdft2d_tabpfn_magpie_structure_all_best_model_mae_official_folds,full_train,matbench_jdft2d,tabpfn,magpie_structure_all,best_model_mae,official_folds,34.4,meV/atom,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
full_train_matbench_phonons_tabpfn_magpie_structure_all_best_model_mae_official_folds,full_train,matbench_phonons,tabpfn,magpie_structure_all,best_model_mae,official_folds,30.64,cm^-1,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
full_train_matbench_jdft2d_extra_trees_structure_minus_composition_mae_pct_change_official_folds,full_train,matbench_jdft2d,extra_trees,structure_minus_composition,mae_pct_change,official_folds,-17.99,%,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
full_train_matbench_jdft2d_tabpfn_structure_minus_composition_mae_pct_change_official_folds,full_train,matbench_jdft2d,tabpfn,structure_minus_composition,mae_pct_change,official_folds,-25.43,%,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
full_train_matbench_phonons_extra_trees_structure_minus_composition_mae_pct_change_official_folds,full_train,matbench_phonons,extra_trees,structure_minus_composition,mae_pct_change,official_folds,-11.07,%,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
full_train_matbench_phonons_tabpfn_structure_minus_composition_mae_pct_change_official_folds,full_train,matbench_phonons,tabpfn,structure_minus_composition,mae_pct_change,official_folds,-16.84,%,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
target_regime_matbench_jdft2d_extra_trees_magpie_mae_high_target_full_train,target_regime,matbench_jdft2d,extra_trees,magpie,mae,high_target_full_train,94.25,meV/atom,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
target_regime_matbench_phonons_extra_trees_magpie_mae_high_target_full_train,target_regime,matbench_phonons,extra_trees,magpie,mae,high_target_full_train,94.69,cm^-1,gpu_20260605_223535_utc,HkUw4vKz_D5_,notebook_display_text
data_efficiency_matbench_jdft2d_tabpfn_magpie_structure_all_aulc_mean_mae_fractions_0.1_to_1.0,data_efficiency,matbench_jdft2d,tabpfn,magpie_structure_all,aulc_mean_mae,fractions_0.1_to_1.0,41.53,meV/atom,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
data_efficiency_matbench_phonons_tabpfn_magpie_structure_all_aulc_mean_mae_fractions_0.1_to_1.0,data_efficiency,matbench_phonons,tabpfn,magpie_structure_all,aulc_mean_mae,fractions_0.1_to_1.0,48.49,cm^-1,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
target_regime_matbench_jdft2d_extra_trees_structure_minus_composition_mae_pct_change_high_target,target_regime,matbench_jdft2d,extra_trees,structure_minus_composition,mae_pct_change,high_target,-15.91,%,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
target_regime_matbench_jdft2d_tabpfn_structure_minus_composition_mae_pct_change_high_target,target_regime,matbench_jdft2d,tabpfn,structure_minus_composition,mae_pct_change,high_target,-18.25,%,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
target_regime_matbench_phonons_extra_trees_structure_minus_composition_mae_pct_change_high_target,target_regime,matbench_phonons,extra_trees,structure_minus_composition,mae_pct_change,high_target,-11.21,%,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
target_regime_matbench_phonons_tabpfn_structure_minus_composition_mae_pct_change_high_target,target_regime,matbench_phonons,tabpfn,structure_minus_composition,mae_pct_change,high_target,-17.11,%,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_jdft2d_tabpfn_magpie_spearman_disagreement_error_all_test_samples,disagreement_error_proxy,matbench_jdft2d,tabpfn,magpie,spearman_disagreement_error,all_test_samples,0.538,dimensionless,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_jdft2d_tabpfn_magpie_mae_high_disagreement,disagreement_error_proxy,matbench_jdft2d,tabpfn,magpie,mae,high_disagreement,107.5,meV/atom,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_jdft2d_tabpfn_magpie_mae_lower_disagreement,disagreement_error_proxy,matbench_jdft2d,tabpfn,magpie,mae,lower_disagreement,25.67,meV/atom,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_jdft2d_tabpfn_magpie_structure_all_spearman_disagreement_error_all_test_samples,disagreement_error_proxy,matbench_jdft2d,tabpfn,magpie_structure_all,spearman_disagreement_error,all_test_samples,0.549,dimensionless,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_jdft2d_tabpfn_magpie_structure_all_mae_high_disagreement,disagreement_error_proxy,matbench_jdft2d,tabpfn,magpie_structure_all,mae,high_disagreement,93.16,meV/atom,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_jdft2d_tabpfn_magpie_structure_all_mae_lower_disagreement,disagreement_error_proxy,matbench_jdft2d,tabpfn,magpie_structure_all,mae,lower_disagreement,14.8,meV/atom,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_phonons_tabpfn_magpie_spearman_disagreement_error_all_test_samples,disagreement_error_proxy,matbench_phonons,tabpfn,magpie,spearman_disagreement_error,all_test_samples,0.362,dimensionless,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_phonons_tabpfn_magpie_mae_high_disagreement,disagreement_error_proxy,matbench_phonons,tabpfn,magpie,mae,high_disagreement,66.19,cm^-1,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_phonons_tabpfn_magpie_mae_lower_disagreement,disagreement_error_proxy,matbench_phonons,tabpfn,magpie,mae,lower_disagreement,27.03,cm^-1,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
disagreement_error_proxy_matbench_phonons_tabpfn_magpie_structure_all_spearman_disagreement_error_all_test_samples,disagreement_error_proxy,matbench_phonons,tabpfn,magpie_structure_all,spearman_disagreement_error,all_test_samples,0.376,dimensionless,gpu_20260605_223535_utc,WE6QKEmmBypF,notebook_display_text
