task,feature_source,feature_set,feature_set_display,model,model_display,mean_mae,best_baseline_model,best_baseline_display,best_baseline_feature_set,best_baseline_feature_set_display,best_baseline_mean_mae,mae_delta_vs_best_baseline,mae_pct_change_vs_best_baseline
matbench_expt_gap,composition,magpie,Magpie composition,tabpfn,TabPFN,0.36880423957687997,extra_trees,Extra trees,magpie,Magpie composition,0.40834399835245244,-0.039539758775572476,-9.682953327367057
matbench_expt_gap,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,0.3850856779606842,extra_trees,Extra trees,magpie,Magpie composition,0.40834399835245244,-0.023258320391768228,-5.695766433597332
matbench_expt_gap,composition,magpie,Magpie composition,extra_trees,Extra trees,0.40834399835245244,extra_trees,Extra trees,magpie,Magpie composition,0.40834399835245244,0.0,0.0
matbench_expt_gap,composition,magpie,Magpie composition,random_forest,Random forest,0.4454605983425387,extra_trees,Extra trees,magpie,Magpie composition,0.40834399835245244,0.03711659999008626,9.089542184981484
matbench_expt_gap,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,0.4511994088491651,extra_trees,Extra trees,magpie,Magpie composition,0.40834399835245244,0.042855410496712654,10.49492845973532
matbench_expt_gap,composition,magpie,Magpie composition,dummy_mean,Dummy mean,1.1435269609161665,extra_trees,Extra trees,magpie,Magpie composition,0.40834399835245244,0.7351829625637141,180.04010479643642
matbench_expt_gap,composition,magpie,Magpie composition,ridge_cv,RidgeCV,9.971601237611985,extra_trees,Extra trees,magpie,Magpie composition,0.40834399835245244,9.563257239259533,2341.961012735452
matbench_jdft2d,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,34.39592203788164,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-6.147551045637812,-15.162862424178295
matbench_jdft2d,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,34.82078784923712,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-5.722685234282331,-14.114935892378073
matbench_jdft2d,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn,TabPFN,34.96278593035964,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-5.580687153159815,-13.764699293678206
matbench_jdft2d,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn,TabPFN,35.09316664636881,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-5.450306437150644,-13.44311678953361
matbench_jdft2d,structure,magpie_density,Magpie + density,tabpfn,TabPFN,36.007937966554294,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-4.535535116965157,-11.186844076288102
matbench_jdft2d,structure,magpie_structure_all,Magpie + all structure,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,36.35994484572164,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-4.183528237797809,-10.31862324468294
matbench_jdft2d,structure,magpie_packing,Magpie + packing,tabpfn,TabPFN,36.6971680979237,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-3.8463049855957507,-9.486866055289275
matbench_jdft2d,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,36.94785077166473,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-3.5956223118547186,-8.868560185871955
matbench_jdft2d,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,37.50161103196727,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-3.0418620515521795,-7.502717010173134
matbench_jdft2d,structure,magpie_density_packing,Magpie + density + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,37.82862800309538,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-2.7148450804240696,-6.69613349313093
matbench_jdft2d,structure,magpie_density,Magpie + density,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,38.33073410819732,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-2.2127389753221323,-5.4576946843303125
matbench_jdft2d,structure,magpie_packing,Magpie + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,40.1535766586591,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,-0.38989642486035336,-0.9616749508784502
matbench_jdft2d,structure,magpie_structure_all,Magpie + all structure,extra_trees,Extra trees,40.54347308351945,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,0.0,0.0
matbench_jdft2d,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,extra_trees,Extra trees,40.742675384598684,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,0.1992023010792323,0.4913301351092347
matbench_jdft2d,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,extra_trees,Extra trees,41.86835138196757,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,1.3248782984481196,3.2677967566292945
matbench_jdft2d,structure,magpie_structure_all,Magpie + all structure,random_forest,Random forest,41.994469779309306,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,1.4509966957898541,3.578866301860239
matbench_jdft2d,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,random_forest,Random forest,42.14768684969401,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,1.60421376617456,3.9567744057591803
matbench_jdft2d,structure,magpie_density,Magpie + density,extra_trees,Extra trees,42.887012208761504,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,2.343539125242053,5.780311717287684
matbench_jdft2d,structure,magpie_density,Magpie + density,random_forest,Random forest,43.033869579097015,extra_trees,Extra trees,magpie_structure_all,Magpie + all structure,40.54347308351945,2.4903964955775635,6.14253369573779
