status,task,target,unit,matbench_input_type,feature_source,feature_set,feature_set_display,model,model_display,fold,train_size,test_size,n_features,mae,r2,fit_seconds,predict_seconds,random_seed,ensemble_tabpfn_weight,ensemble_extra_trees_weight,inner_val_fraction,inner_selected_tabpfn_weight,inner_selected_extra_trees_weight,inner_selected_val_mae
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,dummy_mean,Dummy mean,0,249,63,132,241.45907439280927,-0.00919951129456309,0.002493619918823242,0.0006694793701171875,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,dummy_mean,Dummy mean,1,249,63,132,219.37703193727293,-0.0011959672718080405,0.0019245147705078125,0.0006098747253417969,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,dummy_mean,Dummy mean,2,250,62,132,225.79322580645163,-0.005869661057561482,0.0018596649169921875,0.0006020069122314453,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,dummy_mean,Dummy mean,3,250,62,132,241.20352258064514,-0.013734092956998678,0.0018401145935058594,0.0005939006805419922,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,dummy_mean,Dummy mean,4,250,62,132,220.889793548387,-0.015933091095049257,0.0018513202667236328,0.0006055831909179688,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,ridge_cv,RidgeCV,0,249,63,132,156.92950278833814,0.4463689236305475,0.007375001907348633,0.0010259151458740234,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,ridge_cv,RidgeCV,1,249,63,132,143.92765993428407,0.512342396867657,0.007509469985961914,0.0010004043579101562,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,ridge_cv,RidgeCV,2,250,62,132,173.46351226623818,0.3570874533269821,0.007306098937988281,0.000997781753540039,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,ridge_cv,RidgeCV,3,250,62,132,160.2668143120982,0.5530282361689292,0.007277011871337891,0.0010008811950683594,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,ridge_cv,RidgeCV,4,250,62,132,157.98357498237058,0.3458888431165432,0.0072634220123291016,0.0009980201721191406,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,random_forest,Random forest,0,249,63,132,115.59207936507923,0.5474762275444482,0.30523157119750977,0.0456690788269043,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,random_forest,Random forest,1,249,63,132,87.53669841269857,0.842006184670617,0.2787480354309082,0.0382235050201416,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,random_forest,Random forest,2,250,62,132,110.68917096774241,0.7254331000144607,0.283052921295166,0.03895378112792969,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,random_forest,Random forest,3,250,62,132,111.94089677419318,0.7904018686412086,0.27736592292785645,0.03853106498718262,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,random_forest,Random forest,4,250,62,132,95.4805000000003,0.7805241999351884,0.2775580883026123,0.03995060920715332,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,extra_trees,Extra trees,0,249,63,132,97.63298412698353,0.6220187163493227,0.17506074905395508,0.049536943435668945,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,extra_trees,Extra trees,1,249,63,132,74.82503174603178,0.8777016026204895,0.17111659049987793,0.03768610954284668,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,extra_trees,Extra trees,2,250,62,132,96.78271612903285,0.7594033049909121,0.17120838165283203,0.038285255432128906,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,extra_trees,Extra trees,3,250,62,132,97.67319032258001,0.8389763788160516,0.16618609428405762,0.04125070571899414,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,extra_trees,Extra trees,4,250,62,132,86.96524516129092,0.767914683360203,0.1712944507598877,0.04029130935668945,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,0,249,63,132,176.8698884346944,0.35102442646865417,0.03704643249511719,0.0011382102966308594,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,1,249,63,132,95.4588636170136,0.7921923800226067,0.14688444137573242,0.0026955604553222656,42,,,,,,
