task,target,unit,matbench_input_type,feature_source,feature_set,feature_set_display,model,model_display,folds_completed,mean_mae,std_mae,sem_mae,mean_r2,std_r2,n_features,train_size_mean,test_size_sum,fit_seconds_sum,predict_seconds_sum,rank_by_mae
matbench_expt_gap,gap expt,eV,composition,composition,magpie,Magpie composition,tabpfn,TabPFN,5,0.36880423957687997,0.026935348191047738,0.012045853910561743,0.711502118977769,0.050218119686143876,132.0,3683.2,4604,1.7247891426086426,54.938331842422485,1
matbench_expt_gap,gap expt,eV,composition,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,0.3850856779606842,0.02665581344782594,0.011920842172978369,0.7125178890879427,0.05093513781043866,132.0,3683.2,4604,0.0,0.0,2
matbench_expt_gap,gap expt,eV,composition,composition,magpie,Magpie composition,extra_trees,Extra trees,5,0.40834399835245244,0.026734537654534332,0.011956048708513311,0.6932299418994747,0.05300270597438626,132.0,3683.2,4604,2.997380256652832,0.29542970657348633,3
matbench_expt_gap,gap expt,eV,composition,composition,magpie,Magpie composition,random_forest,Random forest,5,0.4454605983425387,0.020205004547019373,0.009035952730565535,0.6716109281173284,0.04237291479164732,132.0,3683.2,4604,9.959968328475952,0.28783178329467773,4
matbench_expt_gap,gap expt,eV,composition,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,5,0.4511994088491651,0.03140909219719035,0.01404657305289517,0.6610193749562023,0.04799603780323669,132.0,3683.2,4604,3.3423609733581543,0.02630472183227539,5
matbench_expt_gap,gap expt,eV,composition,composition,magpie,Magpie composition,dummy_mean,Dummy mean,5,1.1435269609161665,0.03467155220792549,0.015505589524470866,-0.002376925337698044,0.0017866640565850403,132.0,3683.2,4604,0.06235146522521973,0.004678964614868164,6
matbench_expt_gap,gap expt,eV,composition,composition,magpie,Magpie composition,ridge_cv,RidgeCV,5,9.971601237611985,20.56200812272833,9.195609583264677,-188236.34238579453,420910.1492039379,132.0,3683.2,4604,2.063514471054077,0.00963735580444336,7
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,5,34.39592203788164,8.651520575169146,3.8690776229632577,0.40980018525279593,0.17925711871341155,149.0,508.8,636,1.217186450958252,1.3675239086151123,1
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,5,34.82078784923712,9.334421605867204,4.1744802482723635,0.4082362765296807,0.18320165633596677,136.0,508.8,636,1.1834945678710938,1.1034963130950928,2
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn,TabPFN,5,34.96278593035964,8.831864970447352,3.9497300884038893,0.3677682437846044,0.19530866679738298,147.0,508.8,636,1.2107532024383545,1.1469001770019531,3
