task,reference_model,reference_feature_set,best_baseline_model,best_baseline_feature_set,n_paired_folds,mean_delta_tabpfn_minus_baseline,median_delta_tabpfn_minus_baseline,tabpfn_win_folds
matbench_steels,tabpfn,magpie,extra_trees,magpie,5,-3.1249731296202983,-4.819448288690495,3
matbench_jdft2d,tabpfn,magpie,extra_trees,magpie_structure_all,5,5.586665760879811,7.12618772472495,0
matbench_jdft2d,tabpfn,magpie_density,extra_trees,magpie_structure_all,5,-4.535535116965155,-4.4833787245334875,4
matbench_jdft2d,tabpfn,magpie_symmetry,extra_trees,magpie_structure_all,5,3.24380022214349,5.517083884457087,2
matbench_jdft2d,tabpfn,magpie_packing,extra_trees,magpie_structure_all,5,-3.84630498559575,-3.64439780059206,5
matbench_jdft2d,tabpfn,magpie_density_packing,extra_trees,magpie_structure_all,5,-5.722685234282331,-6.9956131530220595,4
matbench_jdft2d,tabpfn,magpie_density_packing_symmetry,extra_trees,magpie_structure_all,5,-5.580687153159812,-6.354316084847397,4
matbench_jdft2d,tabpfn,magpie_complexity,extra_trees,magpie_structure_all,5,2.494200527882286,1.882039545591077,1
matbench_jdft2d,tabpfn,magpie_density_packing_complexity,extra_trees,magpie_structure_all,5,-5.450306437150643,-6.390628829249874,5
matbench_jdft2d,tabpfn,magpie_structure_all,extra_trees,magpie_structure_all,5,-6.147551045637814,-6.606801030321719,5
matbench_phonons,tabpfn,magpie,extra_trees,magpie_density_packing,5,-7.373873205846394,-7.159249236950529,5
matbench_phonons,tabpfn,magpie_density,extra_trees,magpie_density_packing,5,-11.96356332752828,-12.639462631615018,5
matbench_phonons,tabpfn,magpie_symmetry,extra_trees,magpie_density_packing,5,-9.596019169712733,-8.451632152926535,5
matbench_phonons,tabpfn,magpie_packing,extra_trees,magpie_density_packing,5,-12.588892410811027,-13.649174614725347,5
matbench_phonons,tabpfn,magpie_density_packing,extra_trees,magpie_density_packing,5,-13.098944694458021,-14.351400970965916,5
matbench_phonons,tabpfn,magpie_density_packing_symmetry,extra_trees,magpie_density_packing,5,-13.118841334568334,-14.07121121819992,5
matbench_phonons,tabpfn,magpie_complexity,extra_trees,magpie_density_packing,5,-8.817243723350867,-7.7442257305082975,5
matbench_phonons,tabpfn,magpie_density_packing_complexity,extra_trees,magpie_density_packing,5,-13.241405291433058,-14.157333491595136,5
matbench_phonons,tabpfn,magpie_structure_all,extra_trees,magpie_density_packing,5,-13.596049365785566,-14.673752957277085,5
matbench_expt_gap,tabpfn,magpie,extra_trees,magpie,5,-0.03953975877557242,-0.039195558644625594,5
