task,target,unit,feature_source,feature_set,feature_set_display,tabpfn_weight,extra_trees_weight,folds_completed,mean_mae,std_mae,sem_mae,mean_r2,test_size_sum,diagnostic_note,rank_by_mae_within_branch
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,1.0,0.0,5,0.36880423957687997,0.02693534819104773,0.012045853910561743,0.7115021189777689,4604,diagnostic_test_fold_scan_not_for_final_model_selection,1
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.95,0.050000000000000044,5,0.37009721150460073,0.026920465221924723,0.012039198044428528,0.7125173632672251,4604,diagnostic_test_fold_scan_not_for_final_model_selection,2
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.9,0.09999999999999998,5,0.3714529594290431,0.026923410609598374,0.012040515261840202,0.713329570383695,4604,diagnostic_test_fold_scan_not_for_final_model_selection,3
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.85,0.15000000000000002,5,0.37292046749864094,0.026913654516952414,0.012036152204569972,0.7139387403271785,4604,diagnostic_test_fold_scan_not_for_final_model_selection,4
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.8,0.19999999999999996,5,0.3744507366230808,0.026895660436319725,0.012028105007072512,0.7143448730976755,4604,diagnostic_test_fold_scan_not_for_final_model_selection,5
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.75,0.25,5,0.37606367683198266,0.026880354646877335,0.012021260049944015,0.7145479686951861,4604,diagnostic_test_fold_scan_not_for_final_model_selection,6
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.7,0.30000000000000004,5,0.37772669458507874,0.02685401351421285,0.012009479937295588,0.7145480271197103,4604,diagnostic_test_fold_scan_not_for_final_model_selection,7
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.65,0.35,5,0.37945368889791864,0.026806961269192558,0.01198843753362372,0.7143450483712479,4604,diagnostic_test_fold_scan_not_for_final_model_selection,8
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.6,0.4,5,0.38125259940862966,0.02678181000859141,0.011977189547938923,0.7139390324497993,4604,diagnostic_test_fold_scan_not_for_final_model_selection,9
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.55,0.44999999999999996,5,0.3831372638035695,0.02672514913515885,0.01195185003500698,0.7133299793553641,4604,diagnostic_test_fold_scan_not_for_final_model_selection,10
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.5,0.5,5,0.3850856779606842,0.02665581344782594,0.011920842172978369,0.7125178890879427,4604,diagnostic_test_fold_scan_not_for_final_model_selection,11
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.45,0.55,5,0.3870942577349942,0.026607022204683344,0.011899022065703656,0.7115027616475347,4604,diagnostic_test_fold_scan_not_for_final_model_selection,12
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.4,0.6,5,0.38915567953736985,0.026553728133791116,0.011875188232641113,0.7102845970341405,4604,diagnostic_test_fold_scan_not_for_final_model_selection,13
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.35,0.65,5,0.39125012255569314,0.02649382441989255,0.011848398477364734,0.7088633952477597,4604,diagnostic_test_fold_scan_not_for_final_model_selection,14
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.3,0.7,5,0.39342091132908613,0.026476845542038538,0.011840805292352086,0.7072391562883926,4604,diagnostic_test_fold_scan_not_for_final_model_selection,15
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.25,0.75,5,0.39569366874643747,0.026475382683125846,0.011840151081958033,0.705411880156039,4604,diagnostic_test_fold_scan_not_for_final_model_selection,16
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.2,0.8,5,0.39807465920985374,0.026523959239839443,0.011861875178542928,0.7033815668506989,4604,diagnostic_test_fold_scan_not_for_final_model_selection,17
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.15,0.85,5,0.4005346453880006,0.02659256624963443,0.011892557166069845,0.7011482163723726,4604,diagnostic_test_fold_scan_not_for_final_model_selection,18
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.1,0.9,5,0.4030556670664344,0.02666081256859653,0.011923077847752523,0.6987118287210595,4604,diagnostic_test_fold_scan_not_for_final_model_selection,19
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.05,0.95,5,0.40567511013480273,0.026687042592327483,0.01193480827097529,0.6960724038967605,4604,diagnostic_test_fold_scan_not_for_final_model_selection,20
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,0.0,1.0,5,0.40834399835245233,0.026734537654534332,0.011956048708513311,0.6932299418994747,4604,diagnostic_test_fold_scan_not_for_final_model_selection,21
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.85,0.15000000000000002,5,46.002917160611176,8.312050526123453,3.7172620017649867,0.10098498826006656,636,diagnostic_test_fold_scan_not_for_final_model_selection,1
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.9,0.09999999999999998,5,46.00565534920706,8.352648377583497,3.735417912886006,0.09975460093825801,636,diagnostic_test_fold_scan_not_for_final_model_selection,2
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.8,0.19999999999999996,5,46.05123932708619,8.296268437686855,3.710204037250757,0.1015089275399836,636,diagnostic_test_fold_scan_not_for_final_model_selection,3
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.95,0.050000000000000044,5,46.05499439092523,8.377873991733043,3.746699150488519,0.09781776557455864,636,diagnostic_test_fold_scan_not_for_final_model_selection,4
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.75,0.25,5,46.11451936158063,8.288788274907054,3.7068588067590773,0.1013264187780096,636,diagnostic_test_fold_scan_not_for_final_model_selection,5
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,1.0,0.0,5,46.13013884439926,8.405794965351308,3.759185789490203,0.09517448216896778,636,diagnostic_test_fold_scan_not_for_final_model_selection,6
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.7,0.30000000000000004,5,46.205799675357504,8.282303274148001,3.7039586262528013,0.10043746197414419,636,diagnostic_test_fold_scan_not_for_final_model_selection,7
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.65,0.35,5,46.3647081494408,8.304995048502784,3.7141066962502776,0.09884205712838764,636,diagnostic_test_fold_scan_not_for_final_model_selection,8
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.6,0.4,5,46.535531937910626,8.323373186403753,3.722325649379564,0.09654020424074006,636,diagnostic_test_fold_scan_not_for_final_model_selection,9
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.55,0.44999999999999996,5,46.72131371418776,8.337193567776342,3.7285063118243804,0.09353190331120118,636,diagnostic_test_fold_scan_not_for_final_model_selection,10
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.5,0.5,5,46.908933185763644,8.351917864450815,3.7350912174813793,0.08981715433977118,636,diagnostic_test_fold_scan_not_for_final_model_selection,11
matbench_jdft2d,exfoliation_en,meV/atom,composition_from_structure,magpie,Magpie composition,0.45,0.55,5,47.10336022421684,8.367895560374361,3.742236660323153,0.08539595732644989,636,diagnostic_test_fold_scan_not_for_final_model_selection,12
