task,feature_set,feature_set_display,unit,best_tabpfn_weight,best_extra_trees_weight,best_mean_mae,tabpfn_mean_mae,extra_trees_mean_mae,fixed_50_50_mean_mae,mae_delta_best_minus_tabpfn,mae_pct_change_best_minus_tabpfn,mae_delta_best_minus_fixed_50_50,mae_pct_change_best_minus_fixed_50_50,diagnostic_note
matbench_expt_gap,magpie,Magpie composition,eV,1.0,0.0,0.36880423957687997,0.36880423957687997,0.40834399835245233,0.3850856779606842,0.0,0.0,-0.016281438383804248,-4.228004134047936,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_structure_all,Magpie + all structure,meV/atom,1.0,0.0,34.39592203788163,34.39592203788163,40.54347308351945,36.35994484572164,0.0,0.0,-1.96402280784001,-5.401611075521503,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_density_packing,Magpie + density + packing,meV/atom,1.0,0.0,34.82078784923712,34.82078784923712,43.17949397250433,37.82862800309538,0.0,0.0,-3.007840153858261,-7.951227185961226,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,meV/atom,1.0,0.0,34.96278593035964,34.96278593035964,40.742675384598684,36.94785077166473,0.0,0.0,-1.9850648413050962,-5.372612479065874,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_density_packing_complexity,Magpie + density + packing + complexity,meV/atom,1.0,0.0,35.09316664636881,35.09316664636881,41.86835138196756,37.50161103196727,0.0,0.0,-2.4084443855984645,-6.422242456585262,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_density,Magpie + density,meV/atom,1.0,0.0,36.007937966554294,36.007937966554294,42.887012208761504,38.33073410819732,0.0,0.0,-2.3227961416430247,-6.059879090983225,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_packing,Magpie + packing,meV/atom,1.0,0.0,36.6971680979237,36.6971680979237,47.34085970294261,40.1535766586591,0.0,0.0,-3.4564085607353974,-8.607971813116242,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_complexity,Magpie + complexity,meV/atom,1.0,0.0,43.037673611401736,43.037673611401736,47.96293649587779,44.66547822406702,0.0,0.0,-1.6278046126652868,-3.6444356522934966,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie_symmetry,Magpie + symmetry,meV/atom,0.55,0.44999999999999996,43.16700092235705,43.787273305662936,44.70899397368537,43.18679636047248,-0.6202723833058883,-1.4165585944938697,-0.019795438115430386,-0.045836782960702614,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_jdft2d,magpie,Magpie composition,meV/atom,0.85,0.15000000000000002,46.002917160611176,46.13013884439926,49.43534342288772,46.908933185763644,-0.12722168378808618,-0.2757886426858921,-0.9060160251524678,-1.931436005087905,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_structure_all,Magpie + all structure,cm^-1,0.95,0.050000000000000044,30.592624142073504,30.63097806308275,45.66806547047348,35.33884908224559,-0.038353921009246505,-0.1252128512849273,-4.746224940172084,-13.430615493803987,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_density_packing_complexity,Magpie + density + packing + complexity,cm^-1,1.0,0.0,30.985622137435264,30.985622137435264,44.36229115386608,35.28537808845641,0.0,0.0,-4.299755951021147,-12.185659284256925,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,cm^-1,0.95,0.050000000000000044,31.048740967859686,31.10818609429998,45.39747726004952,35.5353690972582,-0.05944512644029487,-0.191091586825717,-4.486628129398511,-12.62580984347982,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_density_packing,Magpie + density + packing,cm^-1,1.0,0.0,31.1280827344103,31.1280827344103,44.22702742886832,35.40796744298701,0.0,0.0,-4.279884708576709,-12.087349310485186,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_packing,Magpie + packing,cm^-1,1.0,0.0,31.63813501805729,31.63813501805729,44.71505282051151,35.95920928347862,0.0,0.0,-4.3210742654213306,-12.016599784930863,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_density,Magpie + density,cm^-1,1.0,0.0,32.263464101340034,32.263464101340034,50.50765327012432,38.99602181021769,0.0,0.0,-6.732557708877657,-17.264729570731753,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_symmetry,Magpie + symmetry,cm^-1,1.0,0.0,34.631008259155585,34.631008259155585,50.81230455310774,40.33466647798309,0.0,0.0,-5.703658218827506,-14.140833969560356,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie_complexity,Magpie + complexity,cm^-1,1.0,0.0,35.409783705517455,35.409783705517455,50.881352115204656,41.347589591234865,0.0,0.0,-5.93780588571741,-14.360706257411787,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_phonons,magpie,Magpie composition,cm^-1,1.0,0.0,36.85315422302192,36.85315422302192,51.35537255835523,42.16495986018632,0.0,0.0,-5.3118056371644045,-12.59767744301828,diagnostic_test_fold_scan_not_for_final_model_selection
matbench_steels,magpie,Magpie composition,MPa,0.6,0.4,86.79735881804825,87.65086036756352,90.77583349718381,87.00428388329844,-0.853501549515272,-0.9737514793763766,-0.20692506525018928,-0.23783319167104958,diagnostic_test_fold_scan_not_for_final_model_selection
