task,target,unit,feature_source,tabpfn_feature_set,feature_set_display,model_tabpfn,model_display,fold,mbid,y_true,tabpfn_y_pred,tabpfn_absolute_error,ensemble_tabpfn_weight,ensemble_extra_trees_weight,inner_selected_tabpfn_weight,inner_selected_extra_trees_weight,baseline_feature_set,baseline_model,baseline_y_pred,baseline_absolute_error,tabpfn_error_minus_baseline_error,tabpfn_error_ratio_vs_baseline
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,3,mb-expt-gap-2831,10.5,8.361101150512695,2.1388988494873047,,,,,magpie,extra_trees,10.37361999999995,0.12638000000005079,2.012518849487254,16.92434601587629
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,3,mb-expt-gap-1538,0.0,3.7504472732543945,3.7504472732543945,,,,,magpie,extra_trees,1.7930199999999967,1.7930199999999967,1.9574272732543978,2.0916929388709558
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,3,mb-expt-gap-1529,3.6,1.389113426208496,2.210886573791504,,,,,magpie,extra_trees,3.276479999999994,0.323520000000006,1.887366573791498,6.833848212757983
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,2,mb-expt-gap-1920,0.0,3.2575550079345703,3.2575550079345703,,,,,magpie,extra_trees,1.399480000000001,1.399480000000001,1.8580750079345694,2.327689576081522
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,4,mb-expt-gap-1010,10.0,7.973206043243408,2.026793956756592,,,,,magpie,extra_trees,9.805059999999994,0.1949400000000061,1.8318539567565857,10.397014244159887
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,4,mb-expt-gap-2155,4.1,1.3132346868515015,2.786765313148498,,,,,magpie,extra_trees,3.025120000000001,1.0748799999999985,1.7118853131484997,2.59262923595983
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,2,mb-expt-gap-2048,0.0,3.304997205734253,3.304997205734253,,,,,magpie,extra_trees,1.6333399999999985,1.6333399999999985,1.6716572057342545,2.0234594179621244
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,4,mb-expt-gap-0822,3.2,0.4855077266693115,2.7144922733306887,,,,,magpie,extra_trees,2.012159999999998,1.1878400000000022,1.5266522733306864,2.2852339316159447
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,1,mb-expt-gap-3122,4.9,3.2279744148254395,1.672025585174561,,,,,magpie,extra_trees,4.743560000000035,0.15643999999996527,1.5155855851745956,10.687967177032293
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,1,mb-expt-gap-2060,6.4,0.29394853115081787,6.1060514688491825,,,,,magpie,extra_trees,1.8093999999999981,4.590600000000002,1.5154514688491805,1.3301205656884023
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-544,159.07466666666716,668.3941040039062,509.3194373372391,,,,,magpie_structure_all,extra_trees,310.10012233942354,151.02545567275638,358.2939816644827,3.372407883614257
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,0,mb-jdft2d-507,62.388999999999584,359.5895080566406,297.20050805664107,,,,,magpie_structure_all,extra_trees,157.40576122279597,95.01676122279639,202.18374683384468,3.127874537417266
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-jdft2d-004,240.71548750000002,438.9613342285156,198.2458467285156,,,,,magpie_structure_all,extra_trees,271.6488549890189,30.933367489018877,167.31247923949672,6.408802623862127
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-490,309.61220000000003,516.0122680664062,206.40006806640622,,,,,magpie_structure_all,extra_trees,260.20173877143327,49.41046122856676,156.98960683783946,4.177254430223282
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-283,423.69233333333335,991.0540771484375,567.3617438151041,,,,,magpie_structure_all,extra_trees,856.2611890690494,432.568855735716,134.7928880793881,1.311610247229037
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-jdft2d-533,515.5750000000002,136.0236358642578,379.55136413574235,,,,,magpie_structure_all,extra_trees,266.4451374390698,249.12986256093035,130.421501574812,1.523508102297108
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-473,265.60800000000006,484.05035400390625,218.4423540039062,,,,,magpie_structure_all,extra_trees,364.27193089472144,98.66393089472137,119.77842310918481,2.2140041656863794
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-089,88.0183333333342,251.9310760498047,163.9127427164705,,,,,magpie_structure_all,extra_trees,141.96084213391063,53.942508800576434,109.97023391589406,3.0386562724112474
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-503,369.7796666666666,499.20184326171875,129.42217659505212,,,,,magpie_structure_all,extra_trees,391.24389942500227,21.46423275833564,107.95794383671648,6.029667030366645
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,3,mb-jdft2d-139,250.03606249999993,354.97467041015625,104.93860791015632,,,,,magpie_structure_all,extra_trees,239.92540191824895,10.110660581750977,94.82794732840534,10.379006105650806
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,1,mb-jdft2d-544,159.07466666666716,664.3079833984375,505.23331673177034,,,,,magpie_structure_all,extra_trees,310.10012233942354,151.02545567275638,354.20786105901396,3.345352043343709
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,1,mb-jdft2d-490,309.61220000000003,530.7670288085938,221.15482880859372,,,,,magpie_structure_all,extra_trees,260.20173877143327,49.41046122856676,171.74436758002696,4.475870560802064
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,0,mb-jdft2d-507,62.388999999999584,313.6619873046875,251.27298730468792,,,,,magpie_structure_all,extra_trees,157.40576122279597,95.01676122279639,156.25622608189153,2.6445122320629317
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,1,mb-jdft2d-283,423.69233333333335,1011.0082397460938,587.3159064127603,,,,,magpie_structure_all,extra_trees,856.2611890690494,432.568855735716,154.74705067704434,1.3577396953690748
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,2,mb-jdft2d-533,515.5750000000002,132.299072265625,383.27592773437516,,,,,magpie_structure_all,extra_trees,266.4451374390698,249.12986256093035,134.1460651734448,1.5384583919185375
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,2,mb-jdft2d-004,240.71548750000002,401.4697265625,160.75423906249998,,,,,magpie_structure_all,extra_trees,271.6488549890189,30.933367489018877,129.8208715734811,5.19679078327203
