task,target,unit,feature_source,feature_set,feature_set_display,model,model_display,fold,mbid,y_true,y_pred,absolute_error,ensemble_tabpfn_weight,ensemble_extra_trees_weight,inner_selected_tabpfn_weight,inner_selected_extra_trees_weight,analysis_group
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,2,mb-expt-gap-2705,9.9,0.4104689955711365,9.489531004428864,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,2,mb-expt-gap-2636,11.1,3.024169445037842,8.075830554962158,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,2,mb-expt-gap-0599,9.92,2.9417033195495605,6.978296680450439,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,4,mb-expt-gap-3239,0.0,6.477436542510986,6.477436542510986,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,4,mb-expt-gap-3036,6.8,0.599377453327179,6.200622546672821,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,1,mb-expt-gap-2060,6.4,0.29394853115081787,6.1060514688491825,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,0,mb-expt-gap-1207,6.38,0.5202755331993103,5.85972446680069,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,2,mb-expt-gap-0435,10.39,4.75002908706665,5.63997091293335,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,3,mb-expt-gap-1386,5.15,0.11436522006988525,5.035634779930115,,,,,best_model_by_task
matbench_expt_gap,gap expt,eV,composition,magpie,Magpie composition,tabpfn,TabPFN,2,mb-expt-gap-2969,6.15,1.1374750137329102,5.01252498626709,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,4,mb-jdft2d-103,1604.0382857142856,57.072330474853516,1546.965955239432,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-jdft2d-142,946.4379999999996,175.8156280517578,770.6223719482418,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-jdft2d-092,847.9855600000002,203.46578979492188,644.5197702050783,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-jdft2d-145,1002.0007499999997,425.3447265625,576.6560234374997,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-283,423.69233333333335,991.0540771484375,567.3617438151041,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-jdft2d-494,1131.4849999999997,606.1185913085938,525.3664086914059,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-544,159.07466666666716,668.3941040039062,509.3194373372391,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,4,mb-jdft2d-365,585.9625475,104.43672943115234,481.5258180688477,,,,,best_model_by_task
